"id","common_name_crop","species_name","species_name_taxonstand_","species_name_","genus","sps","family","order","gf","wild_progenitor","sources_wild_progenitor","minimum_time_cultivation","minimum_time_domestication","sources_minimum_time_cultivation_domestication","filter_data_antiquity","use_food","use_animal_feed","use","use_primary","sources_use","number_gbif_records","filter_ocurr_gbif","sd_longitude","sd_latitude","mode_ecoreg_code","biogeografic_realm","mode_ecoreg_name","mode_ecoreg_centroid_lon","mode_ecoreg_centroid_lat","median_BIO1","median_BIO2","median_BIO3","median_BIO4","median_BIO5","median_BIO6","median_BIO7","median_BIO8","median_BIO9","median_BIO10","median_BIO11","median_BIO12","median_BIO13","median_BIO14","median_BIO15","median_BIO16","median_BIO17","median_BIO18","median_BIO19","cv_BIO1","cv_BIO2","cv_BIO3","cv_BIO4","cv_BIO5","cv_BIO6","cv_BIO7","cv_BIO8","cv_BIO9","cv_BIO10","cv_BIO11","cv_BIO12","cv_BIO13","cv_BIO14","cv_BIO15","cv_BIO16","cv_BIO17","cv_BIO18","cv_BIO19"
702,"Crooked_yellow_stonecrop","Sedum rupestre","Sedum_rupestre_L.","Sedum_rupestre","Sedum","rupestre","Crassulaceae","Saxifragales","herb","Sedum_rupestre_L.","90",NA,NA,NA,0,1,0,"shoot","shoot",90,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
703,"Marking_nut_tree","Semecarpus anacardium","Semecarpus_anacardium_L.f.","Semecarpus_anacardium","Semecarpus","anacardium","Anacardiaceae","Sapindales","woody","Semecarpus_anacardium_L.f.","90",NA,NA,NA,0,1,0,"multifood_rep","fruit_flower",128,7,1,4.11618383,1.285589316,"IM0166","Indo_malay","Upper Gangetic Plains Moist Deciduous Forests",80.15361506,27.03940546,223,122,40,5917,368,64,307,265,246,288,139,1676,560,7,126,1315,52,701,76,26.6483181,6.03179966,7.689058565,14.00105485,21.8653962,81.09946813,13.35669722,20.88618072,43.24363008,22.64825554,36.94355582,17.68028058,18.65507483,22.00974933,12.31897302,17.32085804,39.08513953,28.46586939,46.31846825
704,"Sesame_of_the_gazelle","Sesamum alatum","Sesamum_alatum_Thonn.","Sesamum_alatum","Sesamum","alatum","Pedaliaceae","Lamiales","herb","Sesamum_alatum_Thonn.","90",NA,NA,NA,0,1,0,"multifood_rep&veg","shoot",90,118,1,16.07482309,2.683087032,"AT0713","Afrotropic","Sahelian Acacia Savanna",14.84274128,14.77331045,286.5,147,56,3099,408,146,259.5,292,250,329,244,375,128,0,139,287.5,0,70,0,4.983340498,10.99420059,9.521232864,26.21026962,5.632554956,15.29611902,13.69351847,6.323568389,6.477223823,6.058815323,6.173614289,49.67471146,37.76659859,491.4596634,16.56623869,41.50542259,383.9339167,60.17282747,480.0278126
705,"Sesame","Sesamum indicum","Sesamum_indicum_L.","Sesamum_indicum","Sesamum","indicum","Pedaliaceae","Lamiales","herb","Sesamum_indicum_L.","3,4,22",5500,4000,"4,55",1,1,1,"food&forage","seed",4,2,1,7.976673609,11.53383225,"IM0901","Indo_malay","Rann Of Kutch Seasonal Salt Marsh",69.97140661,23.84533563,255.5,112.5,57.5,2833,352,138.5,213.5,267.5,227.5,287,213.5,1286.5,236.5,49,97.5,582,169,336.5,330,6.918853045,29.54134997,30.7437731,101.5358414,16.8741391,45.4386307,57.29717712,16.124678,7.770404189,16.26099218,12.91670467,102.3971965,49.93100738,141.4213562,89.20424009,63.90690153,141.4213562,67.45357407,140.9928067
706,"Benniseed","Sesamum radiatum","Sesamum_radiatum_Schumach._&_Thonn.","Sesamum_radiatum","Sesamum","radiatum","Pedaliaceae","Lamiales","herb","Sesamum_radiatum_Schumach._&_Thonn.","90",NA,NA,NA,0,1,0,"multifood_rep&veg","shoot",90,306,1,9.012998557,4.009671268,"AT0707","Afrotropic","Guinean Forest-Savanna Mosaic",-1.44104815,8.87510659,263,99,69,1139,330,194,138,257,262,277,246,1322,261,8,71,667,59,264,398,6.130605269,22.90925495,7.585926198,33.2838057,8.62792631,13.26028544,27.95899679,6.444601446,7.221447411,7.35782443,5.688580991,36.32211088,33.18718271,125.9398357,27.07885407,30.57876071,99.59532029,60.98580198,67.48520792
707,"Vegetable_hummingbird","Sesbania grandiflora","Sesbania_grandiflora_(L.)_Pers.","Sesbania_grandiflora","Sesbania","grandiflora","Fabaceae","Fabales","woody","Sesbania_grandiflora_(L.)_Pers.","90",NA,NA,NA,0,1,1,"food&forage","fruit_flower",128,62,1,23.56118731,15.43859443,"IM0137","Indo_malay","Northern Indochina Subtropical Forests",100.7283,22.185,241,89,55,3185,319,131,187,267,205,271,196,1736,281,21,76,753,75,633,75,8.133973167,27.99503266,25.08026649,59.41622342,6.591293086,34.97008677,36.30674425,5.560091737,16.98306147,5.846889643,18.26878177,44.6193667,33.47286495,114.7018567,44.12503313,34.9655071,109.4702474,40.10822033,123.8543474
708,"Millet_italian","Setaria italica","Setaria_italica_(L.)_P.Beauv.","Setaria_italica","Setaria","italica","Poaceae","Poales","graminoid","Setaria_viridis_(L.)_P.Beauv.","4",7500,5900,"4",1,1,1,"food&forage","forage",4,441,1,5.416155791,5.025749068,"PA0445","Palearctic","Western European Broadleaf Forests",8.24354512,48.41049219,91,83,31,6548,230,-31,263,157,27,169,5,643,75,35,22,212,116,199,142,20.349,18.9255505,14.54347674,8.767785916,11.3959613,68.9938804,9.281161127,28.33093638,130.1414765,10.18087017,258.9903851,19.79309328,22.57257443,24.43736998,29.63889719,23.40579457,24.77819038,28.26425915,23.39456997
709,"Arrowleaf_sida","Sida rhombifolia","Sida_rhombifolia_L.","Sida_rhombifolia","Sida","rhombifolia","Malvaceae","Malvales","woody","Sida_rhombifolia_L.","90",NA,NA,NA,0,1,0,"shoot","shoot",90,496,1,98.28049112,25.07176895,"AA0402","Australasia","Eastern Australian Temperate Forests",151.7681643,-29.7053003,175,125,49,4163,286,50,235,222,127,225,115,1070,134,39,34,371,131,322,197,14.73973516,15.1852451,18.99690367,49.97625837,9.395965058,59.40894373,13.90607844,10.35784118,29.85704084,8.66541739,34.29951474,48.06456307,63.60292882,47.11427693,44.25386638,63.69333333,35.25448055,33.4666364,41.92526951
710,"White_musttard","Sinapis alba","Sinapis_alba_L.","Sinapis_alba","Sinapis","alba","Brassicaceae","Brassicales","herb","Sinapis_alba_L.,Sinapis_alba_subsp._dissecta_(Lag.)_Simonk.,Sinapis_alba_subsp._mairei_(H.Lindb.)_Maire,Sinapis_flexuosa_Poir.","3",10000,10000,"69",1,1,0,"seed","seed",90,945,1,1.404498827,1.542521372,"PA1201","Palearctic","Aegean And Western Turkey Sclerophyllous And Mixed Forests",24.78298151,38.757036,151,103,33,6866,316,12,292,99,238,242,59,543,80,15,40,216,68,77,201,12.32699213,11.93405098,6.280276177,9.061826009,4.651025114,151.7756605,9.875813313,19.62217756,7.20185666,6.785096486,38.89375601,22.93311283,36.43368355,50.05969846,43.10279798,35.72421588,41.05724044,43.21539636,39.35413784
711,"Yacon","Smallanthus sonchifolius","Smallanthus_sonchifolius_(Poepp.)_H.Rob.","Smallanthus_sonchifolius","Smallanthus","sonchifolius","Asteraceae","Asterales","herb","Smallanthus_sonchifolius_(Poepp.)_H.Rob.","90",NA,NA,NA,0,1,1,"food&forage","root",90,64,1,4.296379399,7.00054293,"NT1315","Neotropic","Sechura Desert",-75.08631304,-13.28316585,133,143.5,79,594.5,207,38,173.5,134,127,135,126,919,145.5,20,56,387,70.5,306,70.5,27.56639849,20.83520616,10.51905179,71.77572239,19.21751474,107.1130522,22.6152484,27.76215489,31.17391165,29.08159645,28.63343346,52.79410878,44.16303816,89.38658217,31.76346426,46.60017057,87.37052572,41.50436145,159.7905163
712,"Scarlet_eggplant","Solanum aethiopicum","Solanum_aethiopicum_L.","Solanum_aethiopicum","Solanum","aethiopicum","Solanaceae","Solanales","herb","Solanum_anguivi_Lam.","4",5000,4000,"4",1,1,1,"food&forage","fruit_flower",90,323,1,17.83771859,10.01838709,"AT0130","Afrotropic","Western Guinean Lowland Forests",-9.49922667,6.99147235,198,108,69.5,1180,271,125.5,157,206,192,210,182.5,1345,267,13,72,672,54.5,362,112,19.55588791,16.0373365,10.91810856,48.41238596,14.68104173,37.58804255,19.75039856,17.29927172,24.00631393,18.25845327,23.32299228,34.87556602,34.11952146,87.80376318,24.79327361,34.80805227,79.12103662,37.81000804,108.3546036
713,"Childrens_tomatoes","Solanum anomalum","Solanum_anomalum_Thonn.","Solanum_anomalum","Solanum","anomalum","Solanaceae","Solanales","herb","Solanum_anomalum_Thonn.","90",NA,NA,NA,0,1,0,"fruit_flower","fruit_flower",90,139,1,9.605819735,6.841919357,"AT0130","Afrotropic","Western Guinean Lowland Forests",-9.49922667,6.99147235,259,93,72,981,318,204,123,253,264,270,246,1543,246,22,67,615,114,313,296,8.533569127,24.20285917,10.74499541,38.89111999,5.263258065,23.29369476,29.15197045,7.792709371,12.68415805,7.876219775,10.85922969,29.83119492,31.98425962,80.67181123,30.63511519,26.38170239,70.39569913,30.34543258,71.4005048
